164 ; 1513432183970 ; -4215.523 ;   801.670 ; lastgasp.mi ; 2017-349-0
165 ; 1513432184210 ; -4215.523 ;   801.670 ; lastgasp.mi ; 2017-349-0
166 ; 1513449060183 ; -4217.540 ;   801.512 ; storm.mi ; 2017-349-1
167 ; 1513449060400 ; -4217.540 ;   801.512 ; storm.mi ; 2017-349-1
168 ; 1513449060320 ; -4217.540 ;   801.512 ; storm.mi ; 2017-349-1
169 ; 1513449060200 ; -4217.540 ;   801.512 ; storm.mi ; 2017-349-1
170 ; 1513461424369 ; -4219.015 ;   801.554 ; storm.mi ; 2017-349-1
171 ; 1513461424184 ; -4219.015 ;   801.554 ; storm.mi ; 2017-349-1
172 ; 1513461424364 ; -4219.015 ;   801.554 ; storm.mi ; 2017-349-1
173 ; 1513461424244 ; -4219.015 ;   801.554 ; storm.mi ; 2017-349-1
174 ; 1513470910179 ; -4219.976 ;   801.455 ; storm.mi ; 2017-349-1
175 ; 1513470909964 ; -4219.976 ;   801.455 ; storm.mi ; 2017-349-1
176 ; 1513470909734 ; -4219.976 ;   801.455 ; storm.mi ; 2017-349-1
177 ; 1513470910205 ; -4219.976 ;   801.455 ; storm.mi ; 2017-349-1
178 ; 1513483413963 ; -4221.700 ;   801.047 ; storm.mi ; 2017-349-1
179 ; 1513492668015 ; -4223.084 ;   800.846 ; storm.mi ; 2017-349-1
180 ; 1513492668573 ; -4223.084 ;   800.846 ; storm.mi ; 2017-349-1
181 ; 1513492668746 ; -4223.084 ;   800.846 ; storm.mi ; 2017-349-1
182 ; 1513492668718 ; -4223.084 ;   800.846 ; storm.mi ; 2017-349-1
183 ; 1513505288683 ; -4224.618 ;   800.234 ; storm.mi ; 2017-349-1
184 ; 1513505289064 ; -4224.618 ;   800.234 ; storm.mi ; 2017-349-1
185 ; 1513505288871 ; -4224.618 ;   800.234 ; storm.mi ; 2017-349-1
186 ; 1513505288668 ; -4224.618 ;   800.234 ; storm.mi ; 2017-349-1
187 ; 1513513655206 ; -4224.707 ;   759.563 ; storm.mi ; 2017-349-1
188 ; 1513513655134 ; -4224.707 ;   759.563 ; storm.mi ; 2017-349-1
189 ; 1513513655487 ; -4224.707 ;   759.563 ; storm.mi ; 2017-349-1
190 ; 1513513655259 ; -4224.707 ;   759.563 ; storm.mi ; 2017-349-1
191 ; 1513528154178 ; -4223.232 ;   759.656 ; storm.mi ; 2017-350-0
192 ; 1513528154380 ; -4223.232 ;   759.656 ; storm.mi ; 2017-350-0
193 ; 1513528154200 ; -4223.232 ;   759.656 ; storm.mi ; 2017-350-0
194 ; 1513528154000 ; -4223.232 ;   759.656 ; storm.mi ; 2017-350-0
195 ; 1513542642677 ; -4221.485 ;   800.386 ; storm.mi ; 2017-350-0
196 ; 1513542642695 ; -4221.485 ;   800.386 ; storm.mi ; 2017-350-0
197 ; 1513542642711 ; -4221.485 ;   800.386 ; storm.mi ; 2017-350-0
198 ; 1513542643465 ; -4221.485 ;   800.386 ; storm.mi ; 2017-350-0
199 ; 1513552869202 ; -4220.117 ;   800.458 ; storm.mi ; 2017-350-0
200 ; 1513552868955 ; -4220.117 ;   800.458 ; storm.mi ; 2017-350-0
201 ; 1513552868833 ; -4220.117 ;   800.458 ; storm.mi ; 2017-350-0
202 ; 1513552869404 ; -4220.117 ;   800.458 ; storm.mi ; 2017-350-0
203 ; 1513564340457 ; -4218.628 ;   800.380 ; storm.mi ; 2017-350-0
204 ; 1513564340412 ; -4218.628 ;   800.380 ; storm.mi ; 2017-350-0
205 ; 1513564340945 ; -4218.628 ;   800.380 ; storm.mi ; 2017-350-0
206 ; 1513564340692 ; -4218.628 ;   800.380 ; storm.mi ; 2017-350-0
207 ; 1513574589315 ; -4217.681 ;   800.478 ; storm.mi ; 2017-350-0
208 ; 1513574589183 ; -4217.681 ;   800.478 ; storm.mi ; 2017-350-0
209 ; 1513574588905 ; -4217.681 ;   800.478 ; storm.mi ; 2017-350-0
210 ; 1513585789646 ; -4216.643 ;   800.831 ; storm.mi ; 2017-350-0
211 ; 1513596552548 ; -4215.969 ;   800.394 ; storm.mi ; 2017-350-0
212 ; 1513596553406 ; -4215.969 ;   800.394 ; storm.mi ; 2017-350-0
213 ; 1513596552941 ; -4215.969 ;   800.394 ; storm.mi ; 2017-350-0
214 ; 1513596553309 ; -4215.969 ;   800.394 ; storm.mi ; 2017-350-0
215 ; 1513606823748 ; -4214.788 ;   800.111 ; storm.mi ; 2017-350-0
216 ; 1513606823350 ; -4214.788 ;   800.111 ; storm.mi ; 2017-350-0
217 ; 1513606823191 ; -4214.788 ;   800.111 ; storm.mi ; 2017-350-0
218 ; 1513606822990 ; -4214.788 ;   800.111 ; storm.mi ; 2017-350-0
219 ; 1513612848230 ; -4214.747 ;   800.122 ; storm.mi ; 2017-350-0
220 ; 1513613343828 ; -4214.692 ;   800.148 ; storm.mi ; 2017-350-0
221 ; 1513613344039 ; -4214.692 ;   800.148 ; storm.mi ; 2017-350-0
222 ; 1513613344660 ; -4214.692 ;   800.148 ; storm.mi ; 2017-350-0
223 ; 1513613344301 ; -4214.692 ;   800.148 ; storm.mi ; 2017-350-0
224 ; 1513626493328 ; -4214.164 ;   759.063 ; storm.mi ; 2017-350-0
225 ; 1513626494143 ; -4214.164 ;   759.063 ; storm.mi ; 2017-350-0
226 ; 1513626493758 ; -4214.164 ;   759.063 ; storm.mi ; 2017-350-0
227 ; 1513626493656 ; -4214.164 ;   759.063 ; storm.mi ; 2017-350-0
228 ; 1513640412765 ; -4212.728 ;   758.913 ; storm.mi ; 2017-350-0
229 ; 1513652054839 ; -4212.060 ;   758.194 ; storm.mi ; 2017-350-0
230 ; 1513652055293 ; -4212.060 ;   758.194 ; storm.mi ; 2017-350-0
231 ; 1513652055622 ; -4212.060 ;   758.194 ; storm.mi ; 2017-350-0
232 ; 1513652055164 ; -4212.060 ;   758.194 ; storm.mi ; 2017-350-0
233 ; 1513660843757 ; -4210.927 ;   758.562 ; storm.mi ; 2017-350-0
234 ; 1513660843557 ; -4210.927 ;   758.562 ; storm.mi ; 2017-350-0
235 ; 1513660843870 ; -4210.927 ;   758.562 ; storm.mi ; 2017-350-0
236 ; 1513660843576 ; -4210.927 ;   758.562 ; storm.mi ; 2017-350-0
237 ; 1513674074435 ; -4210.098 ;   757.737 ; storm.mi ; 2017-350-0
238 ; 1513674074597 ; -4210.098 ;   757.737 ; storm.mi ; 2017-350-0
239 ; 1513674074939 ; -4210.098 ;   757.737 ; storm.mi ; 2017-350-0
240 ; 1513674074690 ; -4210.098 ;   757.737 ; storm.mi ; 2017-350-0
241 ; 1513695532487 ; -4208.210 ;   756.845 ; storm.mi ; 2017-350-0
242 ; 1513695532199 ; -4208.210 ;   756.845 ; storm.mi ; 2017-350-0
243 ; 1513695532414 ; -4208.210 ;   756.845 ; storm.mi ; 2017-350-0
244 ; 1513695532299 ; -4208.210 ;   756.845 ; storm.mi ; 2017-350-0
245 ; 1513703988878 ; -4207.831 ;   756.752 ; storm.mi ; 2017-350-0
246 ; 1513717548177 ; -4206.308 ;   756.772 ; storm.mi ; 2017-350-0
247 ; 1513717548503 ; -4206.308 ;   756.772 ; storm.mi ; 2017-350-0
248 ; 1513717548035 ; -4206.308 ;   756.772 ; storm.mi ; 2017-350-0
249 ; 1513717547926 ; -4206.308 ;   756.772 ; storm.mi ; 2017-350-0
250 ; 1513724953715 ; -4205.557 ;   757.055 ; storm.mi ; 2017-350-0
251 ; 1513724953616 ; -4205.557 ;   757.055 ; storm.mi ; 2017-350-0
252 ; 1513724953481 ; -4205.557 ;   757.055 ; storm.mi ; 2017-350-0
253 ; 1513724954421 ; -4205.557 ;   757.055 ; storm.mi ; 2017-350-0
254 ; 1513738359065 ; -4204.492 ;   756.055 ; storm.mi ; 2017-350-0
255 ; 1513738359131 ; -4204.492 ;   756.055 ; storm.mi ; 2017-350-0
256 ; 1513738359393 ; -4204.492 ;   756.055 ; storm.mi ; 2017-350-0
